id_vertex; team; skill
350; 0; PMDB
351; 0; PSDB
352; 0; PPS
353; 0; PSDB
354; 1; PR
355; 0; PDT
356; 0; PDT
357; 0; PT
358; 0; PT
359; 1; PMDB
360; 0; PDT
361; 0; PSDC
362; 0; PT
363; 1; PDT
364; 0; PSDB
365; 0; PV
366; 0; PR
367; 1; PV
368; 0; PRB
369; 0; PV
370; 0; PSD
371; 1; PSB
372; 0; PDT
373; 0; PRB
374; 0; PT
375; 0; PSB
376; 1; PMDB
377; 0; PSDB
378; 0; PRTB
379; 0; SOLIDARIED
380; 0; PMDB
381; 0; PSDB
382; 0; PDT
383; 0; PR
384; 0; PSDB
385; 0; PP
386; 1; PPS
387; 0; PMDB
388; 0; PTB
389; 0; PSC
390; 0; PT
391; 0; DEM
392; 0; PSC
393; 1; PSDB
394; 0; PT
395; 0; PP
396; 1; PT
397; 1; DEM
398; 0; PP
399; 0; PRB
400; 1; PTC
401; 0; PHS
402; 1; PR
403; 0; PT
404; 1; PSL
405; 0; PT
406; 1; PMDB
407; 0; PMDB
408; 0; PV
409; 0; PT
410; 0; PT
411; 1; PDT
412; 0; PSDB
413; 0; PSDB
414; 0; PSDB
415; 0; PSDB
416; 1; SOLIDARIED
417; 0; PPS
418; 1; PSDC
419; 1; PEN
420; 1; PPS
421; 0; PMDB
422; 0; PEN
423; 0; PRP
424; 0; PCDOB
425; 0; PV
426; 0; PT
427; 1; PT
428; 0; PSDB
429; 0; PMN
430; 0; PTN
431; 1; PMDB
432; 1; DEM
433; 1; PMDB
434; 0; PMDB
435; 1; PSB
436; 0; PMDB
437; 0; PSB
438; 0; PT
439; 0; PSB
440; 0; PP
441; 1; PSB
442; 0; PROS
443; 0; PSD
444; 1; PSD
445; 0; DEM
446; 0; PSD
447; 0; PMDB
448; 0; PSDB
449; 0; PMDB
450; 1; PTB
451; 0; PSDB
452; 0; PSDB
453; 0; PSB
454; 0; PHS
455; 1; PSB
456; 0; PTB
457; -; -
458; 1; PSB
459; 1; PTB
460; -; -
461; -; -
462; 0; PSB
463; 1; REDE
464; 1; PTN
465; 0; PHS
466; 0; PSD
467; 0; PSB
468; 0; PP
469; 0; PMDB
470; 0; PT
471; 0; PSDB
472; 1; PRP
473; 0; PR
474; 1; S.PART.
475; 0; PR
476; 0; PR
477; 1; SOLIDARIED
478; -; -
479; 0; PR
480; 0; PRB
481; 0; PRB
482; 1; PMDB
483; 0; PSD
484; 0; PP
485; 0; PR
486; 1; PMN
487; 0; PROS
488; 0; PMDB
489; 0; SOLIDARIED
490; 0; PMDB
491; 1; PR
492; 0; PSDB
493; 1; PDT
494; 1; PHS
495; 0; PMN
496; 1; PR
497; 0; PSDB
498; 1; PRB
499; 0; PP
500; 0; PSB
501; 0; PCDOB
502; 1; PSDB
503; 1; PTB
504; 0; PSD
505; 0; PT
506; 0; PRB
507; 0; PPS
508; 0; PT
509; 0; PT
510; 0; PMDB
511; 0; PSDB
512; 0; PSDB
513; 0; PSB
514; 1; PSDB
515; 1; PSD
516; 0; PSD
517; 0; PSB
518; 0; PR
519; 0; PSDB
520; 1; PR
521; 0; PT
522; 0; PCDOB
523; 0; PSDB
524; 1; PTN
525; 0; PSDB
526; 1; PRB
527; 1; PSDB
528; 0; PMDB
529; 1; PMDB
530; 1; PDT
531; -; -
532; 0; PPS
533; 0; PSC
534; 0; PTC
535; 1; PRP
536; -; -
537; 1; DEM
538; 0; PMDB
539; 0; SOLIDARIED
540; 1; PDT
541; 1; PTDOB
542; 1; PR
543; 0; PT
544; 1; PT
545; 1; PSB
546; 1; PDT
547; 1; PDT
548; 1; PMDB
549; 1; PCDOB
550; -; -
551; -; -
