id_vertex; team; skill
0; 0; DEM
1; 0; PSC
2; 1; PSDB
3; 0; PMDB
4; 0; PP
5; 1; SOLIDARIED
6; 0; PP
7; 1; PT
8; 0; PTB
9; 0; PP
10; 0; PMDB
11; 1; PTB
12; 1; PT
13; 1; PMDB
14; 1; PRB
15; 0; PPS
16; 1; PT
17; 0; PSB
18; 1; PT
19; 0; PT
20; 0; PP
21; 0; PMDB
22; 1; PSOL
23; 1; PT
24; 1; DEM
25; 1; PT
26; 1; PTB
27; 1; PDT
28; 1; PR
29; 0; PMDB
30; 1; PSDB
31; 1; PSB
32; 1; PMDB
33; 0; PEN
34; 0; PR
35; 1; PPS
36; 0; PTB
37; 1; PP
38; 0; PMDB
39; 0; PDT
40; 1; PMDB
41; 1; PT
42; 1; PMDB
43; 1; DEM
44; 1; PP
45; 1; PMDB
46; -; -
47; 1; PSDB
48; 1; PP
49; 1; PMDB
50; 0; PMDB
51; 1; PPS
52; 1; PSD
53; 1; PP
54; -; -
55; 1; PMDB
56; 1; PMDB
57; 1; PDT
58; -; -
59; 1; DEM
60; 1; PSB
61; 1; PMDB
62; 1; PT
63; 1; PSC
64; 1; PSD
65; 0; PT
66; 0; PV
67; 0; PCDOB
68; 1; SOLIDARIED
69; 0; PR
70; 1; PMDB
71; 0; PSC
72; 1; PR
73; 1; PT
74; 1; PSB
75; 1; SDD
76; 0; PT
77; 1; PR
78; 1; PDT
79; 1; PSD
80; 1; PR
81; 0; DEM
82; 0; PCDOB
83; 1; PCDOB
84; 1; DEM
85; 1; PMDB
86; 1; PMDB
87; 1; PDT
88; 1; PMDB
89; 1; PSD
90; 1; PSD
91; 1; PSB
92; 1; PSB
93; -; -
94; 1; PP
95; 1; PSDB
96; 1; PMDB
97; 1; PMDB
98; 1; PT
99; 1; PSD
100; 1; PT
101; 1; PMDB
102; 1; PT
103; 0; PSD
104; 1; PSB
105; 1; PT
106; 1; PDT
107; 0; PT
108; 1; PT
109; 0; PT
110; 1; PDT
111; 1; PSOL
112; 1; PSC
113; 1; PMDB
114; 1; PMDB
115; 1; PMDB
116; 1; PT
117; 1; PMDB
118; 1; PV
119; 1; PMDB
120; 1; PSB
121; 0; PSDB
122; 1; PMDB
123; 1; PMDB
124; 1; PMDB
125; 1; PSDB
126; 1; PT
127; 0; PSD
128; 1; PT
129; 1; PT
130; 0; PSDB
131; 1; PSDB
132; 1; PTB
133; 1; PP
134; 1; PR
135; 1; PSD
136; 1; PTB
137; 0; DEM
138; 1; PMDB
139; 1; PCDOB
140; 0; PTB
141; 1; PSDB
142; 1; PSD
143; 1; PTB
144; 1; PSDB
145; 0; PSDB
146; 0; PMDB
147; 0; PT
148; 0; PP
149; 1; PT
150; 0; PMDB
151; 1; PT
152; 0; PMDB
153; 0; PT
154; 0; PSD
155; 0; PR
156; 1; PSC
157; 1; S.PART.
158; 0; PP
159; 1; DEM
160; 1; PT
161; 0; PT
162; 1; PSB
163; 1; PR
164; 1; PTB
165; 0; DEM
166; 1; PSDB
167; 0; PDT
168; 0; PSD
169; 1; PSD
170; 0; PMDB
171; 1; PDT
172; 1; PSC
173; 0; PT
174; 1; DEM
175; 1; PP
176; 0; PR
177; 1; PT
178; 0; PSB
179; -; -
180; 0; PT
181; 1; PSDB
182; 0; PT
183; 0; PSD
184; 1; PR
185; 1; PDT
186; 1; PP
187; 1; PR
188; 1; PSDB
189; 1; PSDB
190; 1; PPS
191; 1; PR
192; 1; PT
193; 0; PT
194; 1; DEM
195; 1; DEM
196; 0; PMDB
197; 0; PMDB
198; 1; PT
199; 0; PMDB
200; 0; PMDB
201; 1; PT
202; 1; PSB
203; 1; PR
204; 1; PT
205; 1; PT
206; 0; PMDB
207; 1; DEM
208; 0; PMDB
209; 1; PSD
210; 0; PMDB
211; 1; PMDB
212; 1; PP
213; 1; PCDOB
214; 0; PDT
215; 1; PDT
216; 1; PV
217; -; -
218; 1; PDT
219; 1; PRB
220; 0; PSC
221; 0; PMDB
222; 0; PMN
223; 1; PSC
224; 0; PR
225; 0; PT
226; 1; PV
227; 1; PMN
228; 0; PMDB
229; -; -
230; 1; PSC
231; 1; PSC
232; 1; PT
233; 0; PR
234; 1; PP
235; 1; PMDB
236; 1; PT
237; 1; PSD
238; 1; PDT
239; 1; PP
240; 0; PMDB
241; 0; PT
242; 1; PR
243; 0; PR
244; 1; PP
245; 0; PT
246; 1; PSDB
247; 1; PT
248; 1; PRB
249; 1; PSB
250; 1; PSDB
251; 0; PT
252; -; -
253; -; -
254; 1; PPS
255; 1; PSDB
256; 0; PMDB
257; 0; PT
258; 0; PT
259; 1; PDT
260; 0; PMDB
261; 0; PSDB
262; 0; PMDB
263; 1; PRB
264; 1; PR
265; 0; PT
266; 0; PMDB
267; 1; PT
268; 1; PP
269; 1; DEM
270; 0; PSD
271; 1; PV
272; 0; PSD
273; 1; DEM
274; 0; PSD
275; 1; PSB
276; -; -
277; 1; PMDB
278; 0; PT
279; 1; PCDOB
280; 1; PRB
281; 0; PP
282; 0; PSD
283; 1; PSC
284; 1; PMDB
285; 0; PSDB
286; 0; PT
287; 1; DEM
288; 1; PR
289; -; -
290; 1; DEM
291; 1; PSB
292; 1; PT
293; 0; PSDB
294; 1; PMN
295; 0; PT
296; 1; PSDB
297; 0; PSD
298; 0; PP
299; 0; PMDB
300; 1; PR
301; 1; PP
302; 0; PT
303; 0; PMDB
304; 1; PCDOB
305; 1; DEM
306; 1; PSB
307; 1; PSB
308; 0; PSD
309; 1; PT
310; 1; PCDOB
311; 0; PMDB
312; 1; PT
313; -; -
314; 1; PCDOB
315; 1; PSDB
316; 1; PSDB
317; 1; PMDB
318; 0; PDT
319; 1; PTB
320; 0; PMDB
321; -; -
322; 1; PP
323; 0; PP
324; 0; PSDB
325; 0; PSD
326; 1; PDT
327; 1; PTB
328; 0; PMDB
329; 0; PDT
330; 1; PSD
331; 1; PSB
332; 1; PSDB
333; 1; DEM
334; 0; PP
335; 0; PSD
336; 1; PSDB
337; 0; PMDB
338; 0; PP
339; 1; PMDB
340; 1; PMDB
341; 1; PTDOB
342; 0; PR
343; 1; DEM
344; 1; PRB
345; 1; PR
346; 0; PSB
347; 1; PR
348; -; -
349; 0; PSD
350; 0; PT
351; 0; PSDB
352; 0; PHS
353; 0; PT
354; 0; PR
355; 1; PTDOB
356; 1; PT
357; 1; SDD
358; 0; SDD
359; 0; PMDB
360; 0; PSB
361; 1; PT
362; 1; DEM
363; 1; PSDB
364; 0; PRB
365; 0; DEM
366; 1; PSD
367; 1; PSC
368; 0; PT
369; 0; PSDB
370; 0; PMDB
371; 0; PT
372; 1; PR
373; 1; PRB
374; 0; PP
375; 0; PT
376; 1; PSC
377; 0; PSD
378; 1; DEM
379; 1; PSD
380; 1; PP
381; 0; PT
382; 0; PMDB
383; 1; PR
384; 1; PSD
385; 0; PTB
386; 1; SDD
387; 0; PTDOB
388; 0; PT
389; 1; PT
390; 0; PR
391; 0; PMDB
392; 0; PP
393; -; -
394; 1; PSD
395; 0; PMDB
396; 1; PSDB
397; 0; PSC
398; 0; PSDB
399; 1; PT
400; 0; PT
401; 0; PP
402; 0; PTB
403; 0; PMDB
404; 0; PCDOB
405; 0; PT
406; 0; PSD
407; 1; PMDB
408; 1; PSC
409; 0; PSB
410; 0; PP
411; 1; PCDOB
412; 0; PMDB
413; 1; PSDB
414; 0; PMDB
415; 0; PSD
416; 0; PSDB
417; 0; PSD
418; 1; PR
419; 1; PT
420; 1; PV
421; 0; PT
422; 1; PSDB
423; 1; PSD
424; 1; PSB
425; 0; PDT
426; 0; PP
427; 0; SOLIDARIED
428; 0; PSC
429; 0; PPS
430; 0; PT
431; 1; PT
432; 0; PP
433; 1; PCDOB
434; 0; PSB
435; 1; PSD
436; 0; PT
437; 1; PP
438; 0; PSD
439; 0; PT
440; 0; PV
441; 1; PSDB
442; -; -
443; 0; PSD
444; 0; PSD
445; 0; PMDB
446; 0; PPS
447; 1; PT
448; 1; PMDB
449; 1; PR
450; 0; PPS
451; 0; PPS
452; 0; PCDOB
453; 1; PT
454; 1; PTB
455; 0; DEM
456; 1; PRP
457; 0; PSDB
458; 0; PTB
459; 0; PR
460; 1; PDT
461; 0; DEM
462; -; -
463; 1; PSB
464; 1; PROS
465; 0; PT
466; 1; PSDB
467; 1; PEN
468; 1; PSDB
469; 1; PMDB
470; 0; PP
471; 1; PDT
472; 1; PMDB
473; 0; PP
474; 0; PV
475; 1; PP
476; 1; PSD
477; 0; PSD
478; 0; PT
479; 0; PSB
480; 1; PSD
481; 0; PTB
482; 1; PSDB
483; 0; PSB
484; 1; PSDB
485; 0; DEM
486; 1; PDT
487; 0; PSD
488; 0; DEM
489; 0; SOLIDARIED
490; 0; PT
491; 0; PT
492; 0; PSOL
493; 0; PDT
494; 1; PMDB
495; 0; PRP
